employee_id,customer_id,action,timestamp,is_suspicious
E39,C87196,edit,2024-06-05 04:31:00,0
E398,C32233,delete,2024-01-22 12:58:00,0
E335,C14356,view,2024-07-01 09:02:00,0
E339,C2736,edit,2024-10-08 11:17:00,0
E264,C68288,edit,2024-03-14 21:59:00,0
E397,C49930,delete,2024-11-23 14:37:00,0
E148,C64913,view,2024-07-25 20:42:00,0
E150,C82769,view,2024-12-22 04:36:00,0
E172,C56129,view,2024-06-02 14:03:00,0
E269,C98168,view,2024-06-17 02:36:00,0
E75,C70956,view,2024-05-11 05:44:00,0
E293,C82368,view,2024-03-05 21:20:00,0
E32,C11971,view,2024-12-07 19:56:00,0
E9,C98021,export,2024-03-08 21:57:00,0
E11,C87936,view,2024-01-29 03:39:00,0
E32,C77961,export,2024-07-10 20:13:00,0
E404,C28121,view,2024-04-04 05:42:00,0
E347,C9788,view,2024-04-14 07:58:00,0
E314,C8148,edit,2024-08-27 21:13:00,0
E462,C34472,view,2024-01-26 08:53:00,0
E267,C90354,edit,2024-08-02 15:08:00,0
E317,C97790,edit,2024-05-05 15:21:00,0
E125,C17553,edit,2024-07-30 04:51:00,0
E497,C27898,view,2024-01-17 17:10:00,0
E348,C95495,export,2024-05-07 15:43:00,0
E205,C4709,view,2024-02-13 10:37:00,0
E204,C38618,view,2024-01-16 19:01:00,0
E266,C64588,login,2024-12-01 09:07:00,0
E455,C96505,view,2024-09-14 08:58:00,0
E136,C34768,view,2024-02-17 16:59:00,0
E497,C6953,view,2024-04-21 14:24:00,0
E269,C57729,edit,2024-05-13 14:05:00,0
E217,C50055,export,2024-11-14 05:09:00,0
E219,C26550,export,2024-12-27 10:16:00,0
E151,C16508,edit,2024-04-04 01:11:00,0
E278,C20577,edit,2024-09-16 23:22:00,0
E389,C69328,edit,2024-06-14 15:49:00,0
E32,C45961,login,2024-09-30 00:50:00,0
E403,C42382,view,2024-05-30 16:36:00,0
E172,C41152,delete,2024-06-09 04:04:00,0
E122,C18455,view,2024-02-03 04:45:00,0
E213,C50397,view,2024-08-13 13:38:00,0
E39,C39947,view,2024-10-21 08:25:00,0
E186,C24597,view,2024-08-25 07:47:00,0
E127,C68883,delete,2024-02-13 15:32:00,0
E420,C77156,delete,2024-04-06 05:18:00,0
E358,C53592,edit,2024-05-17 14:28:00,0
E239,C5494,view,2024-09-07 19:31:00,0
E124,C9692,delete,2024-10-11 19:51:00,1
E418,C30919,permission_change,2024-12-15 03:23:00,0
E117,C27866,view,2024-03-31 05:36:00,0
E261,C57158,view,2024-02-26 22:43:00,0
E44,C44195,export,2024-12-11 20:39:00,0
E259,C76811,delete,2024-01-05 11:38:00,0
E148,C23837,view,2024-09-29 08:29:00,0
E192,C94134,view,2024-07-23 07:44:00,0
E37,C93594,edit,2024-09-01 11:30:00,0
E14,C45326,view,2024-07-01 17:58:00,0
E58,C73640,permission_change,2024-09-16 10:59:00,0
E499,C62714,edit,2024-03-11 17:04:00,0
E15,C71613,edit,2024-08-13 00:56:00,0
E333,C11686,permission_change,2024-12-09 04:19:00,0
E146,C68,view,2024-04-25 09:09:00,0
E310,C1190,export,2024-07-10 20:47:00,0
E492,C49122,edit,2024-05-26 03:41:00,0
E194,C14472,export,2024-03-30 16:20:00,0
E55,C20053,login,2024-12-02 02:53:00,0
E195,C40998,delete,2024-09-02 10:16:00,0
E296,C24329,login,2024-01-30 00:37:00,0
E426,C57880,delete,2024-02-07 08:27:00,0
E202,C45892,view,2024-09-10 08:08:00,0
E164,C32372,delete,2024-09-14 23:12:00,0
E450,C16022,delete,2024-08-01 12:02:00,1
E308,C79967,delete,2024-10-12 21:25:00,0
E49,C5605,export,2024-12-21 06:52:00,0
E194,C13953,view,2024-09-28 04:53:00,0
E79,C99128,export,2024-06-16 17:13:00,0
E492,C50297,view,2024-10-28 13:06:00,0
E488,C82539,export,2024-12-20 20:41:00,0
E127,C23931,edit,2024-01-04 00:49:00,0
E287,C88597,view,2024-04-16 22:34:00,0
E36,C79409,edit,2024-06-18 13:02:00,0
E73,C62079,export,2024-08-01 22:54:00,1
E382,C60960,edit,2024-06-29 20:46:00,0
E324,C8697,view,2024-09-04 12:34:00,0
E336,C39132,edit,2024-10-08 22:47:00,0
E321,C69516,edit,2024-11-27 09:47:00,0
E142,C58966,login,2024-02-08 07:28:00,0
E207,C96026,export,2024-02-18 15:55:00,0
E80,C7153,view,2024-10-01 06:40:00,0
E299,C89478,edit,2024-06-11 04:06:00,0
E54,C20129,edit,2024-03-01 22:56:00,0
E226,C25770,view,2024-06-23 17:06:00,0
E240,C17553,view,2024-12-07 14:36:00,0
E152,C82539,view,2024-01-10 12:52:00,0
E371,C41080,view,2024-03-20 02:07:00,0
E178,C55804,edit,2024-03-21 05:43:00,0
E450,C86963,export,2024-07-08 19:53:00,1
E318,C72836,edit,2024-05-11 02:24:00,0
E328,C8788,view,2024-06-09 01:00:00,0
E269,C21481,edit,2024-05-23 10:04:00,0
E243,C13481,view,2024-07-19 10:30:00,0
E8,C25966,view,2024-10-04 02:20:00,0
E271,C92641,delete,2024-04-07 14:35:00,0
E96,C6443,view,2024-05-02 00:09:00,0
E478,C15222,view,2024-01-22 06:43:00,0
E231,C78086,view,2024-09-13 00:08:00,0
E472,C74821,export,2024-08-30 01:20:00,0
E248,C13090,view,2024-02-27 19:28:00,0
E374,C98740,export,2024-08-11 09:44:00,1
E480,C54786,export,2024-08-30 13:59:00,0
E68,C80331,permission_change,2024-11-08 09:50:00,1
E352,C72068,view,2024-12-19 09:38:00,0
E434,C28721,view,2024-12-20 14:00:00,0
E302,C51906,view,2024-05-12 08:48:00,0
E86,C2534,view,2024-02-17 19:59:00,0
E46,C72325,view,2024-04-08 03:11:00,0
E303,C58314,delete,2024-05-13 10:59:00,0
E409,C98789,view,2024-09-01 02:52:00,0
E370,C66264,export,2024-02-21 13:59:00,0
E303,C70069,view,2024-09-20 12:32:00,0
E461,C96987,delete,2024-12-11 04:54:00,0
E33,C50976,edit,2024-02-07 11:07:00,0
E322,C27478,view,2024-01-29 20:04:00,0
E61,C1596,delete,2024-04-28 04:41:00,0
E321,C74821,view,2024-02-07 07:44:00,0
E438,C79847,export,2024-05-14 13:00:00,0
E200,C8915,export,2024-06-21 22:39:00,0
E326,C59981,delete,2024-03-26 23:17:00,0
E359,C11844,delete,2024-03-14 13:47:00,0
E394,C9400,export,2024-03-23 23:30:00,1
E458,C14323,delete,2024-03-19 00:05:00,0
E68,C23673,permission_change,2024-04-16 21:26:00,1
E92,C34225,edit,2024-11-03 05:30:00,0
E154,C14346,export,2024-09-10 15:35:00,0
E359,C63348,login,2024-05-19 23:20:00,0
E176,C16508,edit,2024-12-12 00:47:00,0
E234,C13421,view,2024-09-04 08:34:00,0
E386,C98165,view,2024-08-10 02:46:00,0
E94,C32869,view,2024-04-27 09:37:00,0
E357,C4615,edit,2024-02-25 15:50:00,0
E75,C7792,view,2024-10-13 19:41:00,0
E73,C65859,delete,2024-02-07 03:27:00,1
E113,C65458,view,2024-12-15 20:31:00,0
E361,C2561,export,2024-01-18 16:36:00,1
E228,C75153,view,2024-06-09 04:01:00,0
E157,C37794,login,2024-04-14 00:57:00,0
E382,C12878,edit,2024-01-24 01:28:00,0
E287,C38681,edit,2024-12-21 23:52:00,0
E173,C77961,delete,2024-11-18 21:22:00,0
E410,C96593,export,2024-12-26 14:45:00,0
E145,C62931,view,2024-06-21 11:43:00,0
E19,C24126,edit,2024-01-02 20:56:00,0
E172,C27478,view,2024-06-09 13:03:00,0
E493,C91828,delete,2024-03-27 05:19:00,0
E447,C99200,edit,2024-12-16 07:47:00,0
E35,C724,login,2024-10-01 05:27:00,0
E26,C60176,export,2024-06-13 13:45:00,0
E362,C78149,edit,2024-03-12 20:54:00,0
E166,C24747,view,2024-02-01 21:49:00,0
E330,C32973,edit,2024-03-10 19:48:00,0
E475,C21401,edit,2024-10-03 19:58:00,0
E212,C4266,view,2024-05-04 20:31:00,0
E241,C38768,view,2024-12-26 01:14:00,0
E283,C27707,view,2024-02-11 15:01:00,0
E451,C38343,view,2024-05-21 03:02:00,0
E388,C19156,view,2024-03-01 15:01:00,0
E78,C82679,export,2024-04-13 03:17:00,0
E463,C83316,edit,2024-05-02 02:25:00,0
E393,C76209,view,2024-10-16 07:49:00,0
E181,C50341,edit,2024-05-25 05:12:00,0
E57,C27677,view,2024-08-30 09:11:00,0
E144,C48684,edit,2024-10-12 15:03:00,0
E310,C92703,permission_change,2024-07-23 23:12:00,0
E224,C77808,login,2024-03-31 21:20:00,0
E186,C41690,edit,2024-12-16 11:59:00,0
E231,C34543,view,2024-07-20 12:33:00,0
E419,C9536,edit,2024-01-01 10:38:00,0
E144,C44968,permission_change,2024-08-05 21:24:00,0
E221,C87619,delete,2024-03-29 12:32:00,0
E47,C11731,edit,2024-10-31 22:19:00,0
E368,C33779,export,2024-01-06 02:32:00,0
E155,C35449,delete,2024-09-18 10:02:00,1
E450,C19785,export,2024-01-30 18:37:00,1
E124,C62332,export,2024-02-01 05:25:00,1
E332,C94113,view,2024-07-14 09:06:00,0
E122,C48565,edit,2024-01-01 04:59:00,0
E356,C7971,view,2024-09-28 11:57:00,0
E343,C17902,export,2024-08-20 07:17:00,0
E197,C50329,view,2024-06-05 11:47:00,0
E236,C35503,view,2024-06-17 21:10:00,0
E284,C34573,view,2024-11-12 00:04:00,0
E96,C26846,view,2024-10-21 02:23:00,0
E313,C27591,export,2024-06-15 10:25:00,0
E196,C25465,view,2024-04-18 11:22:00,0
E377,C94045,delete,2024-07-18 20:33:00,1
E182,C90435,delete,2024-12-26 12:37:00,0
E425,C82952,delete,2024-01-17 16:25:00,0
E121,C36645,view,2024-11-04 14:44:00,0
E32,C37178,delete,2024-06-24 21:46:00,0
E398,C75960,edit,2024-07-25 17:04:00,0
E329,C21273,login,2024-03-01 17:55:00,0
E475,C56279,edit,2024-06-03 03:00:00,0
E317,C73939,view,2024-11-10 14:41:00,0
E375,C55085,view,2024-01-03 07:53:00,0
E367,C12795,export,2024-03-15 23:11:00,0
E84,C97311,view,2024-08-31 15:17:00,0
E360,C45493,view,2024-07-27 13:50:00,0
E104,C57377,delete,2024-10-21 07:54:00,1
E330,C13608,delete,2024-04-20 13:04:00,0
E142,C24199,edit,2024-06-07 13:03:00,0
E202,C2295,view,2024-05-08 00:20:00,0
E327,C98417,edit,2024-11-07 03:15:00,0
E107,C68809,view,2024-01-28 16:28:00,0
E22,C94866,view,2024-11-25 04:42:00,0
E42,C8064,export,2024-03-31 14:37:00,0
E322,C84020,edit,2024-09-03 09:51:00,0
E155,C30150,export,2024-10-10 07:17:00,1
E435,C484,view,2024-08-29 04:03:00,0
E384,C31172,view,2024-05-19 23:12:00,0
E76,C68320,permission_change,2024-05-08 04:33:00,0
E10,C28978,export,2024-05-12 00:00:00,0
E228,C770,delete,2024-04-14 15:41:00,0
E75,C95875,view,2024-06-26 12:09:00,0
E475,C3829,view,2024-10-26 18:43:00,0
E181,C23561,edit,2024-11-20 08:35:00,0
E369,C64608,edit,2024-01-31 05:49:00,0
E88,C6911,view,2024-04-03 11:11:00,0
E393,C48833,edit,2024-10-07 11:30:00,0
E394,C1388,permission_change,2024-01-29 10:27:00,1
E267,C22375,edit,2024-08-22 16:02:00,0
E315,C41273,edit,2024-07-12 00:17:00,0
E443,C58369,login,2024-02-24 13:32:00,0
E277,C74521,login,2024-09-07 15:02:00,0
E382,C31894,login,2024-09-12 08:03:00,0
E39,C79340,edit,2024-01-21 05:06:00,0
E325,C10037,export,2024-10-19 07:27:00,0
E112,C10640,view,2024-06-21 18:20:00,0
E487,C14439,export,2024-10-28 05:34:00,0
E89,C98289,view,2024-02-18 05:51:00,0
E428,C87336,edit,2024-09-18 16:14:00,0
E412,C98289,view,2024-05-13 09:13:00,0
E76,C22316,view,2024-11-03 18:18:00,0
E90,C19750,view,2024-08-27 14:32:00,0
E394,C87733,permission_change,2024-07-03 16:01:00,1
E456,C38343,delete,2024-06-17 01:08:00,0
E120,C24385,edit,2024-11-14 01:30:00,0
E235,C14868,view,2024-07-16 02:43:00,0
